Cueanexo,id_localidad,Total de hogares,Hogares con población de 3 a 17,Poblacion de 3 a 17
20041000,2103001,"0,110153","0,096426","0,107735"
20041100,2104001,"0,147396","0,140063","0,157503"
20041200,2103001,"0,123297","0,117647","0,122432"
20041300,2110001,"0,099033","0,06032","0,062621"
20041400,2113001,"0,075435","0,036364","0,035054"
20041500,2113001,"0,08175","0,02828","0,026861"
20041700,2110001,"0,114401","0,090517","0,097846"
20041800,2104001,"0,155682","0,148737","0,15797"
20041900,2107001,"0,114251","0,078508","0,083498"
20042000,2105001,"0,092013","0,055196","0,05493"
20042100,2113001,"0,096306","0,052445","0,049545"
20042200,2104001,"0,106068","0,081356","0,085294"
20042400,2101001,"0,115549","0,12273","0,126975"
20042500,2103001,"0,119516","0,103899","0,118241"
20042600,2108001,"0,181687","0,166019","0,178208"
20042700,2112001,"0,077955","0,040007","0,040254"
20042800,2111001,"0,092344","0,05056","0,053425"
20043300,2108001,"0,181687","0,166019","0,178208"
20043700,2114001,"0,078165","0,055862","0,052842"
20043800,2103001,"0,120258","0,104644","0,112434"
20043900,2103001,"0,114827","0,094304","0,100551"
20044000,2111001,"0,101666","0,044915","0,04578"
20044100,2104001,"0,105054","0,074961","0,079154"
20044200,2104001,"0,105054","0,074961","0,079154"
20044400,2107001,"0,112486","0,070342","0,079145"
20044600,2105001,"0,09212","0,048611","0,049204"
20044700,2111001,"0,083797","0,04569","0,047063"
20045100,2115001,"0,079","0,059011","0,059099"
20045500,2104001,"0,104482","0,065811","0,070102"
20045600,2101001,"0,111121","0,127258","0,149915"
20045700,2101001,"0,111121","0,127258","0,149915"
20045800,2103001,"0,112882","0,097663","0,105131"
20046000,2113001,"0,083825","0,046171","0,045337"
20046100,2113001,"0,075677","0,036278","0,035805"
20046200,2110001,"0,095002","0,055062","0,055319"
20046300,2112001,"0,101496","0,059818","0,063329"
20046400,2106001,"0,089019","0,064422","0,064851"
20046700,2113001,"0,083825","0,046171","0,045337"
20046702,2113001,"0,075381","0,047273","0,047449"
20046703,2113001,"0,075381","0,047273","0,047449"
20046900,2101001,"0,111121","0,127258","0,149915"
20047000,2104001,"0,10156","0,06258","0,068702"
20047200,2104001,"0,10156","0,06258","0,068702"
20047300,2104001,"0,162856","0,162326","0,179874"
20047400,2104001,"0,147501","0,143437","0,166389"
20047600,2104001,"0,147396","0,140063","0,157503"
20047700,2104001,"0,115186","0,087287","0,091673"
20047800,2115001,"0,081103","0,056974","0,065211"
20047900,2114001,"0,07806","0,036691","0,036041"
20048100,2102001,"0,088982","0,051201","0,046727"
20048300,2114001,"0,07806","0,036691","0,036041"
20048400,2104001,"0,10156","0,06258","0,068702"
20048500,2104001,"0,106068","0,081356","0,085294"
20048600,2111001,"0,080901","0,039647","0,036959"
20048700,2107001,"0,110343","0,074228","0,074118"
20048900,2113001,"0,084798","0,049459","0,047806"
20049000,2115001,"0,107447","0,085719","0,096996"
20049100,2103001,"0,114827","0,094304","0,100551"
20049200,2103001,"0,120258","0,104644","0,112434"
20049300,2115001,"0,089286","0,060796","0,063343"
20049400,2115001,"0,125029","0,124636","0,13695"
20049500,2111001,"0,110131","0,076136","0,079935"
20049600,2113001,"0,08175","0,02828","0,026861"
20049700,2112001,"0,08876","0,052982","0,057673"
20049900,2104001,"0,147597","0,137968","0,155235"
20050000,2113001,"0,075435","0,036364","0,035054"
20050200,2113001,"0,075435","0,036364","0,035054"
20050300,2104001,"0,180655","0,196963","0,225237"
20050400,2101001,"0,096869","0,071058","0,074695"
20050600,2103001,"0,102861","0,078623","0,088086"
20050800,2104001,"0,104482","0,065811","0,070102"
20050900,2101001,"0,092032","0,045478","0,0428"
20051100,2113001,"0,096306","0,052445","0,049545"
20051101,2113001,"0,096306","0,052445","0,049545"
20051200,2109001,"0,104474","0,06892","0,075306"
20051300,2109001,"0,103935","0,056778","0,059971"
20051301,2109001,"0,103935","0,056778","0,059971"
20051302,2109001,"0,103935","0,056778","0,059971"
20051400,2109001,"0,124885","0,100548","0,109549"
20051600,2115001,"0,089286","0,060796","0,063343"
20051800,2115001,"0,107447","0,085719","0,096996"
20051900,2115001,"0,127192","0,124889","0,126903"
20052000,2104001,"0,119052","0,094484","0,111377"
20052100,2104001,"0,107638","0,075766","0,078709"
20052300,2104001,"0,147597","0,137968","0,155235"
20052400,2103001,"0,119516","0,103899","0,118241"
20052500,2101001,"0,092032","0,045478","0,0428"
20052600,2113001,"0,096306","0,052445","0,049545"
20052700,2113001,"0,096154","0,05507","0,052381"
20052800,2101001,"0,095675","0,083088","0,092111"
20053000,2113001,"0,084798","0,049459","0,047806"
20053100,2113001,"0,084798","0,049459","0,047806"
20053200,2113001,"0,096154","0,05507","0,052381"
20053300,2112001,"0,07398","0,042417","0,040525"
20053400,2113001,"0,096154","0,05507","0,052381"
20053500,2113001,"0,096154","0,05507","0,052381"
20053600,2101001,"0,096869","0,071058","0,074695"
20053601,2108001,"0,123435","0,096823","0,105903"
20053900,2105001,"0,104428","0,066883","0,077033"
20054000,2104001,"0,180655","0,196963","0,225237"
20054100,2104001,"0,180655","0,196963","0,225237"
20054200,2104001,"0,119052","0,094484","0,111377"
20054300,2101001,"0,096869","0,071058","0,074695"
20054400,2115001,"0,079326","0,071205","0,08122"
20054500,2115001,"0,079326","0,071205","0,08122"
20054600,2115001,"0,127192","0,124889","0,126903"
20055400,2110001,"0,094656","0,056243","0,060324"
20055401,2110001,"0,101123","0,063532","0,066138"
20055402,2110001,"0,094656","0,056243","0,060324"
20055403,2110001,"0,109776","0,076381","0,085039"
20055404,2109001,"0,109776","0,076381","0,085039"
20055500,2103001,"0,118998","0,112303","0,123956"
20055600,2109001,"0,120687","0,097222","0,104116"
20055700,2110001,"0,094656","0,056243","0,060324"
20055800,2113001,"0,075435","0,036364","0,035054"
20055900,2113001,"0,096154","0,05507","0,052381"
20056000,2112001,"0,077955","0,040007","0,040254"
20056100,2101001,"0,097825","0,06506","0,069097"
20056200,2101001,"0,098599","0,092625","0,099528"
20056300,2103001,"0,107257","0,087534","0,092851"
20056400,2101001,"0,096935","0,0615","0,059032"
20056500,2101001,"0,115549","0,12273","0,126975"
20056600,2104001,"0,155682","0,148737","0,15797"
20056700,2107001,"0,179084","0,172289","0,186425"
20056800,2101001,"0,095675","0,083088","0,092111"
20057000,2108001,"0,16459","0,158186","0,172797"
20057100,2108001,"0,201273","0,209821","0,224022"
20057200,2102001,"0,098898","0,063552","0,05886"
20057500,2115001,"0,080231","0,051041","0,052187"
20057800,2103001,"0,108686","0,091146","0,09255"
20057900,2103001,"0,108686","0,091146","0,09255"
20058000,2103001,"0,108686","0,091146","0,09255"
20058001,2103001,"0,106069","0,090453","0,094996"
20058100,2115001,"0,095307","0,064774","0,067695"
20058200,2115001,"0,095307","0,064774","0,067695"
20058300,2101001,"0,111121","0,127258","0,149915"
20058400,2101001,"0,092032","0,045478","0,0428"
