id,Localidad
14007077,RIO DEL DURAZNO
14007079,SAN ROQUE
14105071,PUNTA DEL AGUA
14140030,COLONIA MADRESELVA
14028127,SAN ISIDRO
14021009,CANTERAS EL SAUCE
14084042,CAMPO AMPURDAN
14182080,COLONIA LA MERCEDITA
14182037,PASCANAS
14035029,JOVITA
14035018,PINCEN
14154028,TOTORILLAS
14021018,COLONIA TIROLESA
14140074,LA PAQUITA
14007005,CAÑADA DEL SAUCE
14175028,LOS TAJAMARES
14028098,TRES ARBOLES
14126066,LOS MORTERITOS
14077048,LOS CERROS
14063017,INRIVILLE
14063009,COLONIA ITALIANA
14070029,SAN CARLOS MINAS
14182024,IDIAZABAL
14021097,CAMPO METAYER
14140166,COLONIA LA POBLADORA
14140153,POZO DEL MORTERO
14070039,LOS BARRIALES
14175043,VILLA TULUMBA
14105016,DIEGO DE ROJAS
14140062,ESTACION KILOMETRO 581
14028027,EL BRETE
14021027,EL PUEBLITO
14098126,SANTA RITA
14112033,BAÑADO DEL FUERTE
18035057,PAGO LARGO
18035083,EL CHAÑAR
18063048,PALMAR GRANDE
18063046,NUESTRA SEÑORA DEL ROSARIO DE CAA CATI
18140021,EMPEDRADO LIMPIO
18098026,PUNTA GRANDE
18147025,LA CRUZ
18049065,COLONIA BONZON
18161015,CHAVARRIA
18161013,CAÑADA MALA
18056003,ALVEAR
18021016,LAGUNA SOTO
18021009,EL PERICHON
18140027,HERLITZKA
18168074,SAN ALONSO
18063003,ANGOSTURA
18126023,LA MANSION
18042002,ALBARDONES
18042039,PELON ARROYO
18091010,COLONIA SAN JOSE
18091009,COLONIA MARTINEZ
18098011,COSTA SAN LORENZO
18119041,PARADA PUCHETA
18070047,INVERNADA
18070020,COLONIA PORVENIR
18070013,CASUALIDAD
18098016,ISIPOYU
18175016,PASO BERMUDEZ
18147040,SAN GABRIEL
18168077,SAN JUAN DEL HORMIGUERO
18077008,EL ABRA
22140001,BARRANQUERAS
22140033,PUERTO VILELAS
22014014,GENERAL VEDIA
22063022,EL ESPINILLO
22036015,GENERAL CAPDEVILA
26014035,EL COIHUE
26056004,COLAN CONHUE
26049001,BLANCUNTRE
26014034,EL BLANCO
26014010,COSTA DE CHUBUT
26035009,LAGO FUTALAUFQUEN
26098017,RIO PICO
26084008,DOCTOR RICARDO ROJAS
26084004,ALTO RIO SENGUER
30028001,CHAJARI
30008019,COLONIA NUEVA
30088015,ARROYO GRANDE
30088016,COLONIA LA PERLA
30098035,SAN JUSTO
30098048,COLONIA SANTA ANA
30113031,MOJONES SUR
30098045,COLONIA GENACITO
30113018,EL TROPEZON
30035045,LAS ACHIRAS
30035017,EL CIMARRON
30056032,COLONIA LA FLORIDA
30056015,GILBERT
30084017,COLONIA NUEVA
30091015,GOBERNADOR ECHAGÜE
30084020,COLONIA SANTA LUISA
30008038,HAMBIS
30084050,SAN BENITO
30042020,RINCON DE MESA
30063025,ARROYO NEGRO
30098027,LAS MOSCAS
30098036,SANTA ANITA
30028029,COLONIA LA MATILDE
30063014,LA ARGENTINA
30077019,LUCAS GONZALEZ
30084058,VILLA FONTANA
30035033,BARRAGAN
34056045,COLONIA CAMPO VILLAFAÑE
34056054,COLONIA EL RINCON
34035078,COLONIA LAS CHOYAS
34028078,EL POTRERITO
34063098,EL TRONQUITO
34035086,COLONIA SAN ISIDRO
34007097,FORTIN PILCOMAYO NUEVO
34035515,COLONIA OSVALDO QUIROGA
34063110,POZO CABALLO
34014095,MOJON DE FIERRO
34035570,SOLDADO D. SALVATIERRA
34063101,LAS CAÑITAS
34049059,ISLA APANDO
34042096,PUESTO RAMONA
34056165,KILOMETRO 210
34063047,LA BREA
34028080,POZO DE LOS PATOS
34049009,BUEY MUERTO
34007256,TRES YUCHAN
34007253,POZO SARGENTO
38014043,SEVERINO
38021058,LOZANO
38042004,CENTRO FORESTAL
38070121,VINALITO
38098094,TUMBAYA GRANDE
38007162,SANTUARIO DE 3 POZOS
38084059,SAN JUAN DE QUILLAQUES
38084045,OLAROZ CHICO
38112054,MINA BELGICA
38049022,OROSMAYO
38077035,ORATORIO
38077070,YOSCABA
38098070,PURMAMARCA
38028031,CORAYA
38070111,SANTA CLARA
38028023,CHORRILLOS
38070036,EL PIQUETE
38084054,PUESTO SEY
42112001,25 DE MAYO
42021002,COLONIA INES Y CARLOTA
42070005,GUATRACHE
42007013,COLONIA EL PROVENIR
42077002,BERNASCONI
46014025,SAN BERNARDO
46126011,VILLA SANAGASTA
46014003,CEBOLLAR
46028027,LAS CUEVAS
46028017,LOS PATILLOS
46042023,SAN MIGUEL
46042010,GUANCHIN
46042013,MIRANDA
46035035,POLCO
46063007,CHAÑAR
46098007,ALTO JAGUE
46056034,PUNTA DE LOS LLANOS
46112110,EL DIVISADERO
46112047,LA CALLANA
46070050,RIO DE LAS CAÑAS
46084062,SAN JOSE
46084028,LA ISLA
46084074,LA MARUJA
46084045,LOS BARRIALITOS
46042024,LAS HIGUERITAS
46070042,MASCASIN
50028012,KILOMETRO 11 (GUAYMALLEN)
50049001,ALGARROBAL (LAS HERAS)
50063006,CARRIZAL DE ABAJO
50070018,MAIPU
50070021,RODEO DEL MEDIO
50098004,BUEN ORDEN
50098018,SAN MARTIN
50035006,LA COLONIA
50084025,SANTA MARIA DE ORO - INCLUYE BARRIO AZURDUY
50056003,ALTOS DEL OLVIDO
50077002,BARDAS BLANCAS
50098017,PALMIRA
50098002,ALTO VERDE
50098011,EL ESPINO
50098019,TRES PORTEÑAS
50105045,RAMA CAIDA
50049026,POLVAREDAS
50056038,COLONIA ITALIA
50014006,CORRAL DE LORCA
50077024,EL CARAPACHO
54084001,CARAGUATAY
54056002,COLONIA BERNARDINO RIVADAVIA
54049020,CMTE. ANDRES GUACURARI
54049002,BERNARDO DE IRIGOYEN
54112019,MONDORI
54098026,YACUTINGA
54049024,PIÑALITO NORTE
54098032,"PTO, CAZADOR"
54021022,PUERTO SANTA ANA
54098033,INVERNADA
54028042,EXPANSION DE POSADAS
54112003,GRAMADO
54112015,ALEGRIA
54028014,SANTA INES
58091029,OCTAVIO PICO
58014027,SAN PATRICIO DEL CHAÑAR
58035026,PLAZA HUINCUL
58077002,ANDACOLLO
58063004,CAJON DE ALMAZA
58070037,VILLA LA ANGOSTURA
62007007,EL PASO
62021036,COSTA DEL RIO AZUL
62084001,AGUADA CECILIO
62056020,MAMUEL CHOIQUE
62021022,RINCON DE NAHUELPAN
66028100,LA TROJA
66119006,BREALITOS
66119021,GUALFIN
66063072,LOS SAUCES
66056125,EMBARCACION
66056004,AGUARAY
66014086,BUENA VISTA
66147171,VILLA ANGELICA
66133160,FORTIN BELGRANO
66070009,CASA GRANDE
66077047,LOS YACONES
66077041,LESSER
66077010,EL GALLINATO
66112117,METAN VIEJO
66112115,LUMBRERAS
66049122,MADRE VIEJA
66098051,LA VIÑA
66140073,EL POTRERO
66007066,EL BORDO (FINCA)
66021099,TOLOMBON
66133006,ALTO DE LA SIERRA
66161147,TRIGO HUAICO
66007521,SANTA VICTORIA (PUESTO)
66133391,EL CARPINTERO
66161007,ACOYTE
66056381,LAS TRANQUITAS
66161028,CAMPO LA CRUZ
70077010,VILLA KRAUSE
70049031,ZONDA
70049002,ANGUALASTO
70056012,EL MEDANO
70119023,LOS BRETES
70126006,ESTACION PUNTA DEL AGUA
70035014,MARAYES
70035020,LAS LIEBRES
70126004,ESTACION ALGARROBO VERDE
70105014,LOS BERROS
70091002,DOS ACEQUIAS
70091012,VILLA ALEM
70077005,EL MEDANITO
70119011,LA MAJADITA
74021008,CERROS LARGOS
74042030,NUEVA GALIA
74063033,LAS CHACRAS
74063066,SAN VICENTE
74056029,JUANA KOSLAY
74035020,LIBORIO LUNA
74007037,LA BAJADA
74007062,POZO DEL MOLLE
74021047,RIO GRANDE
74014046,POZO CAVADO
74007041,LA MAJADA
74021049,SALADILLO
74056003,ALTO PENCOSO
74063055,RINCON DEL CARMEN
74028004,CONCARAN
74056014,DANIEL DONOVAN
74014063,LAS LAGUNITAS
74021056,ESTANCIA GRANDE
78028007,EL CHALTEN
78007001,COMANDANTE LUIS PIEDRABUENA
78014086,PICO TRUNCADO
82070044,SANTA CLARA DE BUENA VISTA
82119002,CAPITAN BERMUDEZ
82014008,CHAÑAR LADEADO
82042002,AMENABAR
82021035,JOSE M. ESTRADA
82112029,MARCELINO ESCALADA
82133008,FORTIN OLMOS
82056015,LUCIO V. LOPEZ
82056017,OLIVEROS
82063021,RINCON POTREROS
82091013,COLONIA LA CLARA
82126009,EL TREBOL
82126020,PIAMONTE
82028015,MAXIMO PAZ
82112017,LA CRIOLLA
82077013,LOGROÑO
82021007,BELLA ITALIA
82021075,EST. JOSEFINA
82021047,PUEBLO MARINI
82021006,BAUER Y SIGEL
82035002,CAYASTA
82049068,SANTA ANA
82084006,ARMINDA
82049098,LA SELVA
82070035,SA PEREYRA
82042032,MELINCUE
82105016,IRIGOYEN
82098034,EL CEIBO
82070019,ITUZAINGO
86028017,COLONIA ALCIRA
86133019,POZO BETBEDER
86154021,SELVA
86154003,COLONIA LA VICTORIA
86007032,MALBRAN
86007001,ARGENTINA
86077050,LOTES 25 A 29
